Titulo,URL_Original,Arquivo_MD
"Ciência,_Tecnologia_e_Sociedade","https://wiki.foz.ifpr.edu.br/wiki/index.php/Ci%C3%AAncia,_Tecnologia_e_Sociedade","pages\Ciência,_Tecnologia_e_Sociedade.md"
Classes_de_Enderecamento,https://wiki.foz.ifpr.edu.br/wiki/index.php/Classes_de_Enderecamento,pages\Classes_de_Enderecamento.md
Classes_de_Endereçamento,https://wiki.foz.ifpr.edu.br/wiki/index.php/Classes_de_Endere%C3%A7amento,pages\Classes_de_Endereçamento.md
Clique_aqui,https://wiki.foz.ifpr.edu.br/wiki/index.php/Clique_aqui,pages\Clique_aqui.md
Clock,https://wiki.foz.ifpr.edu.br/wiki/index.php/Clock,pages\Clock.md
CoAP,https://wiki.foz.ifpr.edu.br/wiki/index.php/CoAP,pages\CoAP.md
Codigos_Digitais,https://wiki.foz.ifpr.edu.br/wiki/index.php/Codigos_Digitais,pages\Codigos_Digitais.md
Comandos_Basicos_Linux,https://wiki.foz.ifpr.edu.br/wiki/index.php/Comandos_Basicos_Linux,pages\Comandos_Basicos_Linux.md
Componentes_Eletronicos,https://wiki.foz.ifpr.edu.br/wiki/index.php/Componentes_Eletronicos,pages\Componentes_Eletronicos.md
Computacao_em_Nuvem,https://wiki.foz.ifpr.edu.br/wiki/index.php/Computacao_em_Nuvem,pages\Computacao_em_Nuvem.md
Computador_Pessoal,https://wiki.foz.ifpr.edu.br/wiki/index.php/Computador_Pessoal,pages\Computador_Pessoal.md
Comunicação_serial_e_paralela,https://wiki.foz.ifpr.edu.br/wiki/index.php/Comunica%C3%A7%C3%A3o_serial_e_paralela,pages\Comunicação_serial_e_paralela.md
Comutação_de_pacotes_x_Comutação_de_circuitos,https://wiki.foz.ifpr.edu.br/wiki/index.php/Comuta%C3%A7%C3%A3o_de_pacotes_x_Comuta%C3%A7%C3%A3o_de_circuitos,pages\Comutação_de_pacotes_x_Comutação_de_circuitos.md
Comutação_de_pacotes_x_Comutação_de_mensagens,https://wiki.foz.ifpr.edu.br/wiki/index.php/Comuta%C3%A7%C3%A3o_de_pacotes_x_Comuta%C3%A7%C3%A3o_de_mensagens,pages\Comutação_de_pacotes_x_Comutação_de_mensagens.md
Conceitos_e_Laboratorios_sobre_Eletronica,https://wiki.foz.ifpr.edu.br/wiki/index.php/Conceitos_e_Laboratorios_sobre_Eletronica,pages\Conceitos_e_Laboratorios_sobre_Eletronica.md
Conceitos_sobre_Eletronica,https://wiki.foz.ifpr.edu.br/wiki/index.php/Conceitos_sobre_Eletronica,pages\Conceitos_sobre_Eletronica.md
Concepções_e_Práticas_Avaliativas_na_Educação_Profissional_e_Tecnológica_e_nas_Licenciaturas_no_IFPR,https://wiki.foz.ifpr.edu.br/wiki/index.php/Concep%C3%A7%C3%B5es_e_Pr%C3%A1ticas_Avaliativas_na_Educa%C3%A7%C3%A3o_Profissional_e_Tecnol%C3%B3gica_e_nas_Licenciaturas_no_IFPR,pages\Concepções_e_Práticas_Avaliativas_na_Educação_Profissional_e_Tecnológica_e_nas_Licenciaturas_no_IFPR.md
Conectividade_em_Rede,https://wiki.foz.ifpr.edu.br/wiki/index.php/Conectividade_em_Rede,pages\Conectividade_em_Rede.md
Configuração_de_servidor_para_compartilhar_conexão_com_a_Internet,https://wiki.foz.ifpr.edu.br/wiki/index.php/Configura%C3%A7%C3%A3o_de_servidor_para_compartilhar_conex%C3%A3o_com_a_Internet,pages\Configuração_de_servidor_para_compartilhar_conexão_com_a_Internet.md
Configuração_do_JavaFX_no_eclipse,https://wiki.foz.ifpr.edu.br/wiki/index.php/Configura%C3%A7%C3%A3o_do_JavaFX_no_eclipse,pages\Configuração_do_JavaFX_no_eclipse.md
Contadores,https://wiki.foz.ifpr.edu.br/wiki/index.php/Contadores,pages\Contadores.md
Contadores_Sincronos_e_Assincronos,https://wiki.foz.ifpr.edu.br/wiki/index.php/Contadores_Sincronos_e_Assincronos,pages\Contadores_Sincronos_e_Assincronos.md
Controle_de_Estoque,https://wiki.foz.ifpr.edu.br/wiki/index.php/Controle_de_Estoque,pages\Controle_de_Estoque.md
Conversao_Analogico_Digital,https://wiki.foz.ifpr.edu.br/wiki/index.php/Conversao_Analogico_Digital,pages\Conversao_Analogico_Digital.md
Conversao_Digital_Analogica,https://wiki.foz.ifpr.edu.br/wiki/index.php/Conversao_Digital_Analogica,pages\Conversao_Digital_Analogica.md
Copias_de_Seguranca,https://wiki.foz.ifpr.edu.br/wiki/index.php/Copias_de_Seguranca,pages\Copias_de_Seguranca.md
Copias_de_Segurança,https://wiki.foz.ifpr.edu.br/wiki/index.php/Copias_de_Seguran%C3%A7a,pages\Copias_de_Segurança.md
Correio_Eletrônico,https://wiki.foz.ifpr.edu.br/wiki/index.php/Correio_Eletr%C3%B4nico,pages\Correio_Eletrônico.md
Corrente_Continua_e_Corrente_Alternada,https://wiki.foz.ifpr.edu.br/wiki/index.php/Corrente_Continua_e_Corrente_Alternada,pages\Corrente_Continua_e_Corrente_Alternada.md
Corrente_Contínua_e_Corrente_Alternada,https://wiki.foz.ifpr.edu.br/wiki/index.php/Corrente_Cont%C3%ADnua_e_Corrente_Alternada,pages\Corrente_Contínua_e_Corrente_Alternada.md
Cotas_em_disco,https://wiki.foz.ifpr.edu.br/wiki/index.php/Cotas_em_disco,pages\Cotas_em_disco.md
Counter_Strike,https://wiki.foz.ifpr.edu.br/wiki/index.php/Counter_Strike,pages\Counter_Strike.md
Cronograma,https://wiki.foz.ifpr.edu.br/wiki/index.php/Cronograma,pages\Cronograma.md
Cronologia,https://wiki.foz.ifpr.edu.br/wiki/index.php/Cronologia,pages\Cronologia.md
Currículo_2014-2017,https://wiki.foz.ifpr.edu.br/wiki/index.php/Curr%C3%ADculo_2014-2017,pages\Currículo_2014-2017.md
Currículo_2018,https://wiki.foz.ifpr.edu.br/wiki/index.php/Curr%C3%ADculo_2018,pages\Currículo_2018.md
Currículo_dos_Cursos_Técnicos_Integrados_ao_Ensino_Médio,https://wiki.foz.ifpr.edu.br/wiki/index.php/Curr%C3%ADculo_dos_Cursos_T%C3%A9cnicos_Integrados_ao_Ensino_M%C3%A9dio,pages\Currículo_dos_Cursos_Técnicos_Integrados_ao_Ensino_Médio.md
Curso_Superior_de_Tecnologia_em_Análise_e_Desenvolvimento_de_Sistemas,https://wiki.foz.ifpr.edu.br/wiki/index.php/Curso_Superior_de_Tecnologia_em_An%C3%A1lise_e_Desenvolvimento_de_Sistemas,pages\Curso_Superior_de_Tecnologia_em_Análise_e_Desenvolvimento_de_Sistemas.md
Cursos,https://wiki.foz.ifpr.edu.br/wiki/index.php/Cursos,pages\Cursos.md
Cálculo_Diferencial_e_Integral_I,https://wiki.foz.ifpr.edu.br/wiki/index.php/C%C3%A1lculo_Diferencial_e_Integral_I,pages\Cálculo_Diferencial_e_Integral_I.md
Cálculo_Diferencial_e_Integral_II,https://wiki.foz.ifpr.edu.br/wiki/index.php/C%C3%A1lculo_Diferencial_e_Integral_II,pages\Cálculo_Diferencial_e_Integral_II.md
Cálculo_Diferencial_e_Integral_III,https://wiki.foz.ifpr.edu.br/wiki/index.php/C%C3%A1lculo_Diferencial_e_Integral_III,pages\Cálculo_Diferencial_e_Integral_III.md
Códigos_Digitais,https://wiki.foz.ifpr.edu.br/wiki/index.php/C%C3%B3digos_Digitais,pages\Códigos_Digitais.md
Cópias_de_Segurança,https://wiki.foz.ifpr.edu.br/wiki/index.php/C%C3%B3pias_de_Seguran%C3%A7a,pages\Cópias_de_Segurança.md
DNS,https://wiki.foz.ifpr.edu.br/wiki/index.php/DNS,pages\DNS.md
DataSource.groovy,https://wiki.foz.ifpr.edu.br/wiki/index.php/DataSource.groovy,pages\DataSource.groovy.md
Datagrama_IP,https://wiki.foz.ifpr.edu.br/wiki/index.php/Datagrama_IP,pages\Datagrama_IP.md
Debounce,https://wiki.foz.ifpr.edu.br/wiki/index.php/Debounce,pages\Debounce.md
Decodificadores_e_Multiplexadores,https://wiki.foz.ifpr.edu.br/wiki/index.php/Decodificadores_e_Multiplexadores,pages\Decodificadores_e_Multiplexadores.md
Densidade_Aparente,https://wiki.foz.ifpr.edu.br/wiki/index.php/Densidade_Aparente,pages\Densidade_Aparente.md
Densidade_da_água,https://wiki.foz.ifpr.edu.br/wiki/index.php/Densidade_da_%C3%A1gua,pages\Densidade_da_água.md
Densidade_dos_sólidos,https://wiki.foz.ifpr.edu.br/wiki/index.php/Densidade_dos_s%C3%B3lidos,pages\Densidade_dos_sólidos.md
Desenho_técnico,https://wiki.foz.ifpr.edu.br/wiki/index.php/Desenho_t%C3%A9cnico,pages\Desenho_técnico.md
Destorramento_de_solo,https://wiki.foz.ifpr.edu.br/wiki/index.php/Destorramento_de_solo,pages\Destorramento_de_solo.md
Diagrama_de_Modelo_Entidade_Relacionamento,https://wiki.foz.ifpr.edu.br/wiki/index.php/Diagrama_de_Modelo_Entidade_Relacionamento,pages\Diagrama_de_Modelo_Entidade_Relacionamento.md
Didática,https://wiki.foz.ifpr.edu.br/wiki/index.php/Did%C3%A1tica,pages\Didática.md
Diodos,https://wiki.foz.ifpr.edu.br/wiki/index.php/Diodos,pages\Diodos.md
Dispositivos_Lógicos_Programáveis,https://wiki.foz.ifpr.edu.br/wiki/index.php/Dispositivos_L%C3%B3gicos_Program%C3%A1veis,pages\Dispositivos_Lógicos_Programáveis.md
Dispositivos_Programaveis_I,https://wiki.foz.ifpr.edu.br/wiki/index.php/Dispositivos_Programaveis_I,pages\Dispositivos_Programaveis_I.md
Divisor_de_Tensao,https://wiki.foz.ifpr.edu.br/wiki/index.php/Divisor_de_Tensao,pages\Divisor_de_Tensao.md
Docker,https://wiki.foz.ifpr.edu.br/wiki/index.php/Docker,pages\Docker.md
